text,font_size,y0,page_num,char_len,word_count,is_upper,starts_with_num,label
" Given a user story, the tester should be able to write acceptance test-driven development test",9.96,373.5671199999999,10,96,16,0,0,None
cases.,9.96,362.14299999999986,10,6,1,0,0,None
" For both functional and non-functional behavior, the tester should be able to write test cases using",9.96,349.80255999999986,10,102,17,0,0,None
black box test design techniques based on given user stories.,9.96,338.49795999999986,10,61,10,0,0,None
 The tester should be able to perform exploratory testing to support the testing of an Agile project.,9.96,326.15751999999986,10,102,18,0,0,None
 The tester should be able to recall different tools available to testers according to their purpose,9.96,314.03619999999984,10,101,17,0,0,None
and to activities in Agile projects.,9.96,302.6120799999998,10,36,6,0,0,None
Version 2014,9.96,61.85895999999979,10,12,2,0,0,None
Page 11 of 12,9.96,61.85895999999979,10,13,4,0,0,None
"May 31, 2014",9.96,61.85895999999979,10,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,10,53,6,0,0,None
Overview,12.0,737.0759999999999,11,8,1,0,0,None
Foundation Level Extension – Agile Tester,9.96,722.3986799999999,11,41,6,0,0,None
International,9.96,742.29828,11,13,1,0,0,None
Software Testing,9.96,730.77828,11,16,2,0,0,None
Qualifications Board,9.96,719.25828,11,20,2,0,0,None
4. References,15.96,651.27628,11,13,2,0,1,H1
4.1 Trademarks,14.04,604.9937199999999,11,14,2,0,1,H2
The following registered trademarks and service marks are used in this document:,9.96,586.03828,11,80,12,0,0,None
ISTQB® is a registered trademark of the International Software Testing Qualifications Board,9.88,560.00284,11,91,12,0,0,None
4.2 Documents and Web Sites,14.04,518.92372,11,27,5,0,1,H2
Identifier,9.96,500.08828,11,10,1,0,0,None
[ISTQB-Web],9.96,485.44828,11,11,1,0,0,None
Reference,9.96,500.08828,11,9,1,0,0,None
Web site of the International Software Testing Qualifications Board. Refer,9.96,485.44828,11,74,10,0,0,None
to this website for the latest ISTQB Glossary and Syllabi. (www.istqb.org),9.96,473.92828000000003,11,74,11,0,0,None
Version 2014,9.96,61.9182,11,12,2,0,0,None
Page 12 of 12,9.96,61.9182,11,13,4,0,0,None
"May 31, 2014",9.96,61.9182,11,12,3,0,0,None
© International Software Testing Qualifications Board,6.0,48.438,11,53,6,0,0,None
Ontario’s Libraries,15.96,697.42836,0,19,2,0,0,None
Working Together,15.96,674.87688,0,16,2,0,0,None
oposal,32.04,590.33966,0,6,1,0,0,None
quest foooor Prr Prr Prr Proposal,32.04,590.08334,0,33,6,0,0,None
oposal,32.04,590.33966,0,6,1,0,0,None
quest f,32.04,590.33966,0,7,2,0,0,None
RFP: Reeeequest f,32.04,590.08334,0,17,3,0,0,None
RFP: R,32.04,590.33966,0,6,2,1,0,None
oposal,32.04,590.08334,0,6,1,0,0,None
quest f,32.04,590.08334,0,7,2,0,0,None
RFP: R,32.04,590.08334,0,6,2,1,0,None
RFP: R,32.04,590.08334,0,6,2,1,0,None
To Present a Proposal for Developing,24.0,516.816,0,36,6,0,0,None
the Business Plan for the Ontario,24.0,489.21599999999995,0,33,6,0,0,None
Digital Library,24.0,461.61599999999993,0,15,2,0,0,None
"March 21, 2003",20.04,427.17156,0,14,3,0,0,None
"The Ontario Digital Library will make Ontario a better place to study, work and live by ensuring that",9.96,83.86164000000001,0,101,18,0,0,None
all Ontario citizens have access to the knowledge and learning supports needed to be life-long,9.96,69.93756,0,94,15,0,0,None
learners and effective contributors towards Ontario’s prosperity.,9.96,56.01348,0,65,7,0,0,None
Ontario’s Digital Library,20.04,675.16764,1,25,3,0,0,H1
A Critical Component for Implementing Ontario’s Road Map to,15.96,653.87254,1,59,9,0,0,None
Prosperity Strategy,15.96,635.5185399999999,1,19,2,0,0,None
Summary,12.0,579.3720000000001,1,7,1,0,0,H2
The purpose of this Request for Proposal (RFP) is to invite firms and/or consultants to,11.04,551.1105600000001,1,87,15,0,0,None
present a proposal for developing the business plan for the Ontario Digital Library (ODL).,11.04,538.5139200000001,1,90,14,0,0,None
The ODL will deliver high-quality library electronic content to all Ontario residents in order to,11.04,525.7958400000001,1,97,15,0,0,None
"assist people as they learn, work, and enhance their quality of life. The business plan to be",11.04,513.0777600000001,1,93,17,0,0,None
developed is to document and clearly communicate:,11.04,500.48112000000015,1,49,7,0,0,None
"how the ODL will be implemented, including the timeline",11.04,475.7625600000001,1,55,9,0,0,None
the financial plan for the implementation,11.04,463.16592000000014,1,41,6,0,0,None
"the financial plan for the first 2 operating years, including capital and operating costs,",11.04,450.56928000000016,1,90,14,0,0,None
"revenues, etc.",11.04,437.85118000000006,1,14,2,0,0,None
a financial forecast for the succeeding 2 operating years,11.04,425.2545400000001,1,57,9,0,0,None
the services and products to be delivered by the ODL,11.04,412.5364600000001,1,52,10,0,0,None
how the ODL will operate and be managed following the implementation,11.04,399.9398200000001,1,68,11,0,0,None
"who will be involved, and what their role/responsibility will be, for both the",11.04,387.34318000000013,1,78,13,0,0,None
implementation and operational stages,11.04,374.62510000000015,1,37,4,0,0,None
the marketing and communications plan for the ODL,11.04,362.02846000000017,1,49,8,0,0,None
This business plan must be completed and approved by the ODL Steering Committee no,11.04,336.70270000000016,1,82,14,0,0,None
"later than September 30, 2003",11.04,324.10608000000013,1,29,5,0,0,None
Timeline:,11.04,299.3875200000001,1,9,1,0,0,H3
Those firms/consultants intended to submit a proposal to this RFP must indicate their,11.04,274.7904000000001,1,85,13,0,0,None
intention to do so in an e-mail to Michael Ridley (mridley@uoguelph.ca) by April 11th.,10.95,262.03056000000004,1,86,14,0,0,None
"Proposals may be e-mailed, mailed, couriered or faxed to: Larry Moore",11.04,237.43344000000002,1,69,11,0,0,None
"(lmoore@accessola.com), Executive Director, The Ontario Library Association, 100 Lombard",10.89,224.8368,1,88,9,0,0,None
"St., Suite 303, Toronto, ON M5C 1M3. Proposals must be received by Noon on Monday,",10.56,212.11056,1,82,15,0,0,None
"April 21, 2003.",11.04,199.51391999999998,1,15,3,0,0,None
Those proposals that are short-listed will be invited to discuss their proposal during the week,11.04,174.79536,1,95,15,0,0,None
"of April 28, 2003. No presentation will be expected. Firms or consultants invited to an",11.04,162.19871999999998,1,87,15,0,0,None
interview will be expected to discuss the project and their approach with the selection,11.04,149.48064,1,87,14,0,0,None
committee.,11.04,136.884,1,10,1,0,0,None
"Contracts with the firm/consultant will be signed the week of May 5, 2003 with the work to",11.04,112.28687999999998,1,90,17,0,0,None
commence as soon as possible thereafter.,11.04,99.56879999999998,1,40,6,0,0,None
RFP: To Develop the Ontario Digital Library Business Plan,7.56,49.52484,1,57,9,0,0,None
March 2003,7.56,49.52484,1,10,2,0,0,None
2222,9.0,48.0961,1,4,1,0,1,None
Please note that we reserve the right not to select any of the submitted proposals and may,11.04,707.47056,2,90,17,0,0,None
seek further response to these Terms of Reference.,11.04,694.87392,2,50,8,0,0,None
"If you require further information or have any questions, please contact Michael Ridley by e-",11.04,670.15536,2,93,15,0,0,None
mail (mridley@uoguelph.ca) only by 3:00 p.m. on Friday April 18th. All questions and,11.04,657.55872,2,84,13,0,0,None
responses will be shared with those who have indicated that they will be submitting a,11.04,644.84064,2,85,15,0,0,None
"proposal. Please note, that firms/consultants who have not indicated in an e-mail to Michael",11.04,632.244,2,92,14,0,0,None
Ridley by April 11th that they will be submitting a proposal will not receive any further,10.95,619.6305600000001,2,89,16,0,0,None
information or question responses.,11.04,606.9124800000001,2,34,4,0,0,None
Background,12.0,568.932,2,10,1,0,0,H2
"First, some background on the ODL. For the last two years the Ontario Library Association",11.04,540.55056,2,89,15,0,0,None
"has acted as a catalyst, bringing together the stakeholders needed to create the Ontario",11.04,527.95392,2,88,14,0,0,None
"Digital Library (ODL). These stakeholders include Ontario’s 5000+ public libraries, university,",11.04,515.3572800000001,2,95,11,0,0,None
"college, and school libraries, as well as Ontario government ministries.",11.04,502.6392000000001,2,72,10,0,0,None
Libraries that serve very different clientele recognize that by working together they can create,11.04,478.04208000000006,2,96,14,0,0,None
"seamless access to quality electronic library services. Through the ODL, students will be",11.04,465.32400000000007,2,89,13,0,0,None
"able to explore a topic at school, use the same child-safe resources after school (either at",11.04,452.7273600000001,2,92,16,0,0,None
"home or at a public library), enter college or university with a knowledge of how to use",11.04,440.1307200000001,2,88,17,0,0,None
"electronic resources that are still available and then, after graduation, continue to use these",11.04,427.4126400000001,2,95,14,0,0,None
skills and resources at work or at home.,11.04,414.81600000000014,2,40,8,0,0,None
We are moving into a period of convergence. With convergence we no longer have to license,11.04,390.0974400000001,2,89,16,0,0,None
commercial products as individual libraries or institutions. We can work together to spend our,11.04,377.50080000000014,2,94,14,0,0,None
money wisely. The provincial government has made this possible by working hard to provide,11.04,364.90416000000016,2,89,14,0,0,None
"all Ontarians with a stable, high-speed communications infrastructure. While there is still a",11.04,352.1860800000002,2,93,13,0,0,None
"great deal of work needed to improve this infrastructure, libraries are beginning to plan how",11.04,339.5894400000002,2,93,15,0,0,None
best to exploit communications technology. We can reduce barriers to access and create the,11.04,326.8713600000002,2,90,14,0,0,None
content infrastructure needed to support a knowledge society.,11.04,314.27472000000023,2,61,8,0,0,None
"The concept of an ODL is a key element in The Roadmap to Prosperity, a strategic plan to",11.04,289.6776000000002,2,88,18,0,0,None
envision and attain Ontario’s economic goal prepared by the Ontario Jobs and Investment,11.04,276.9595200000002,2,87,13,0,0,None
Board. The OJIB strategic plan recommends an electronic library to “connect students to new,11.04,264.36288000000025,2,91,14,0,0,None
"workplaces, new sources of information and applied learning opportunities”. The ODL will do",11.04,251.64480000000023,2,91,13,0,0,None
"that and much more. The ODL will connect students to electronic information, and will also",11.04,239.04816000000022,2,90,15,0,0,None
leverage this investment to help connect all citizens to the electronic information they need as,11.04,226.45152000000022,2,96,15,0,0,None
"they make decisions, solve problems and enhance their quality of life.",11.04,213.73344000000023,2,70,11,0,0,None
Libraries have long been a key delivery point for public services. The ODL will allow that,11.04,188.40768000000023,2,90,16,0,0,None
"delivery point to move closer to citizens, into the smallest of libraries and even into living",11.04,175.81104000000022,2,94,16,0,0,None
rooms.,11.04,163.09296000000023,2,6,1,0,0,None
"Libraries have a long tradition of using a practical, consultative approach to solving problems,",11.04,137.88864000000024,2,96,14,0,0,None
and of learning from others. The ODL is a very practical solution to various problems.,11.04,125.17056000000024,2,86,15,0,0,None
Jurisdiction-wide digital libraries are very practical and very real. The ODL we propose is,11.04,99.84480000000023,2,91,14,0,0,None
leading edge for Ontario but several jurisdictions have forged the path with collaborative,11.04,87.24816000000024,2,90,13,0,0,None
"digital libraries. We can learn from their experiences. For example, The Alberta Library (TAL)",11.04,74.65152000000025,2,94,14,0,0,None
RFP: To Develop the Ontario Digital Library Business Plan,7.56,49.52484,2,57,9,0,0,None
March 2003,7.56,49.52484,2,10,2,0,0,None
3333,9.0,48.0961,2,4,1,0,1,None
was incorporated in 1997 as a province-wide library consortium. TAL works collaboratively,11.04,707.55886,3,89,12,0,0,None
with its members to promote universal access to materials and resources in more than 250,11.04,694.96224,3,88,15,0,0,None
"public, post-secondary, special, government and regional libraries. Unlike ODL, TAL does",11.04,682.24416,3,88,11,0,0,None
"not include elementary or secondary schools. However, the timeline and funding we are",11.04,669.64752,3,85,13,0,0,None
proposing for ODL is comparable to TAL‘s experience. TAL’s business planning took several,11.04,656.92944,3,89,13,0,0,None
years. TAL’s implementation plan was supported by 8 million dollars in provincially shared,11.04,644.3328,3,90,13,0,0,None
"funding, spread over three years, later revised to 15 million dollars over 4 years. Not only is",11.04,631.73616,3,95,17,0,0,None
"Alberta’s population 30% of Ontario’s, TAL does not include elementary or secondary",11.04,619.01808,3,83,12,0,0,None
schools as partners; it has 250 member libraries. ODL envisions universal access for all,11.04,606.4214400000001,3,88,14,0,0,None
"10,000,000 Ontarians, with more than 5000 Ontario libraries as partners. Although ODL can",11.04,593.7033600000001,3,89,13,0,1,None
"learn from TAL’s practices, the scope of planning and implementing ODL is much larger than",11.04,581.1067200000001,3,90,15,0,0,None
TAL.,11.04,568.5100800000001,3,4,1,1,0,None
The ODL will be a partnership-based organization providing seamless electronic information,11.04,543.1843200000002,3,90,11,0,0,None
services and resources to the citizens of Ontario. It will use local libraries as the entry point for,11.04,530.4662400000002,3,101,18,0,0,None
common resources The ODL will recognize the unique responsibilities and needs of public,11.04,517.8696000000002,3,87,13,0,0,None
"libraries, school libraries, college and university libraries and special libraries. The ODL",11.04,505.15152000000023,3,92,12,0,0,None
"envisions a digital network of information resources, allowing members to collaborate when",11.04,492.55488000000025,3,90,12,0,0,None
there is mutual benefit and to support the common mandates of local libraries.,11.04,479.9582400000003,3,78,13,0,0,None
The principles which will define and guide the ODL are:,11.04,455.23968000000025,3,55,10,0,0,None
Equitable access for all Ontarians:,11.04,430.64256000000023,3,35,5,0,0,H3
"We will bring consistent, high-quality electronic resources and services to 10 million",11.04,405.9240000000002,3,86,12,0,0,None
Ontario citizens,11.04,393.3273600000002,3,16,2,0,0,None
We will eliminate barriers to the access to information and create more consistent,11.04,368.7302400000002,3,82,13,0,0,None
services for library clients.,11.04,356.0121600000002,3,29,4,0,0,None
Shared decision-making and accountability:,11.04,331.4150400000002,3,42,4,0,0,H3
We will facilitate consensus among members regarding ODL’s portfolio of electronic,11.04,306.6964800000002,3,82,11,0,0,None
licenses and services,11.04,294.0998400000002,3,21,3,0,0,None
We will balance the interests and realities of small and large as well as rich and poor,11.04,269.5027200000002,3,87,17,0,0,None
communities and institutions.,11.04,256.7846400000002,3,29,3,0,0,None
Shared governance structure:,11.04,232.18752000000018,3,28,3,0,0,H3
We will share decision-making in order to enable the people we serve.,11.04,207.46896000000018,3,69,12,0,0,None
We will work based on an underlying assumption of trust and synergy.,11.04,182.8718400000002,3,68,12,0,0,None
Shared funding:,11.04,158.2747200000002,3,15,2,0,0,H3
"We will leverage provincial, institutional, and local dollars to realize economies of scale",11.04,133.5561600000002,3,91,13,0,0,None
and put Ontario dollars to work for everyone.,11.04,120.95952000000021,3,45,8,0,0,None
We will be willing to pool talents and dollars in order to provide common services that are,11.04,96.24096000000021,3,91,17,0,0,None
truly greater than those that can be maintained by individual institutions.,11.04,83.64432000000022,3,75,11,0,0,None
RFP: To Develop the Ontario Digital Library Business Plan,7.56,49.52484,3,57,9,0,0,None
March 2003,7.56,49.52484,3,10,2,0,0,None
4444,9.0,48.0961,3,4,1,0,1,None
Local points of entry:,11.04,707.56992,4,22,4,0,0,H3
"We will provide the licenses, infrastructure, services and support that enable local",11.04,682.2441600000001,4,84,12,0,0,None
"libraries to provide exceptional services to their clientele. ODL will focus on support,",11.04,669.6475200000001,4,88,13,0,0,None
"providing the underpinning, not overshadowing.",11.04,656.9294400000001,4,46,5,0,0,None
Services envisioned for the ODL’s include:,11.04,631.7251200000001,4,42,6,0,0,None
Access:,11.04,606.3993600000001,4,7,1,0,0,H3
"to the “deep” web (i.e. Commercial, purchased electronic services)",11.04,593.6812800000001,4,66,9,0,0,None
to credible web sites and electronic resources,11.04,581.0846400000001,4,46,7,0,0,None
to digital government information,11.04,568.4880000000002,4,33,4,0,0,None
to local digital collections,11.04,555.7698800000001,4,28,4,0,0,None
Guidance and Advice:,11.04,530.4441200000001,4,20,3,0,0,H3
to support e-learning,11.04,517.84752,4,21,3,0,0,None
"to support citizens, in real-time, as they try to use electronic resources",11.04,505.12944000000005,4,74,12,0,0,None
to assist citizens as they use web-links,11.04,492.53280000000007,4,40,7,0,0,None
Training:,11.04,479.9361600000001,4,9,1,0,0,H3
for library workers,11.04,467.2180800000001,4,19,3,0,0,None
for the general public,11.04,454.6214400000001,4,22,4,0,0,None
Provincial Purchasing & Licensing:,11.04,429.2956800000001,4,34,4,0,0,H3
of electronic content on a consortia basis for all member libraries,11.04,416.69904000000014,4,67,11,0,0,None
Technological Support:,11.04,391.37328000000014,4,22,2,0,0,H3
of common standards for the preservation and archiving local digital content,11.04,378.65520000000015,4,76,11,0,0,None
of a common interface to ODL resources and services that can be imbedded in local,11.04,366.05856000000017,4,81,15,0,0,None
library web sites,11.04,353.46192,4,17,3,0,0,None
What could the ODL really mean?,11.04,310.26239999999996,4,31,6,0,0,H3
For each Ontario citizen it could mean:,11.04,285.90816,4,39,7,0,0,None
One local point of entry to access seamless electronic library services and,11.04,273.06864,4,75,12,0,0,None
"resources for their personal, educational and professional needs;",11.04,260.47200000000004,4,65,8,0,0,None
"Access to credible, high-quality, user-friendly electronic services through their",11.04,247.75392000000002,4,81,9,0,0,None
"community, school, or academic library;",11.04,235.15728000000001,4,39,5,0,0,None
Confidence that the electronic services and sources they – and their children,11.04,222.56068,4,77,12,0,0,None
"– are using are safe, valid, and bringing them both global and local",11.04,209.84258,4,68,13,0,0,None
perspectives;,11.04,197.24594,4,13,1,0,0,None
Electronic information and tools that enhance job skills and the learning,11.04,184.52783999999994,4,73,11,0,0,None
experience,11.04,171.93119999999993,4,10,1,0,0,None
For each Ontario student it could mean:,11.04,147.45551999999992,4,39,7,0,0,None
"One local point of entry to quality, curriculum- based electronic information",11.04,134.61599999999993,4,77,11,0,0,None
resources and services,11.04,122.01935999999993,4,22,3,0,0,None
"Connection to their individual educational environment, whether at the",11.04,109.30127999999993,4,70,9,0,0,None
"elementary, secondary or post-secondary levels",11.04,96.70462,4,46,5,0,0,None
RFP: To Develop the Ontario Digital Library Business Plan,7.56,49.52484,4,57,9,0,0,None
March 2003,7.56,49.52484,4,10,2,0,0,None
5555,9.0,48.0961,4,4,1,0,1,None
"Confidence that the services and resources people are using are credible,",11.04,707.47056,5,73,11,0,0,None
available when they need them and adaptable to different learning styles,11.04,694.87392,5,72,11,0,0,None
For each Ontario library it could mean:,11.04,669.6696,5,39,7,0,0,None
One point of entry for themselves and their clientele to quality electronic,11.04,656.83008,5,75,12,0,0,None
"resources and services that support and enhance their collections, programs",11.04,644.23344,5,75,10,0,0,None
and services,11.04,631.6368,5,12,2,0,0,None
"The opportunity to show case their local community, collections, services, and",11.04,618.91872,5,78,11,0,0,None
expertise,11.04,606.32208,5,9,1,0,0,None
"The opportunity to gain from the provincial, collaborative partnership in order",11.04,593.60404,5,79,11,0,0,None
to provide a seamless gateway to digital resources and services,11.04,581.00732,5,63,10,0,0,None
For the Ontario government it could mean:,11.04,555.8030000000001,5,41,7,0,0,None
"A point of entry to information services and resources for all Ontario citizens,",11.04,543.08496,5,80,13,0,0,None
connecting to portal initiatives.,11.04,530.36688,5,33,4,0,0,None
Support of the Ontario E-Learning strategy through a collaborative digital,11.04,517.7702400000001,5,74,10,0,0,None
library initiative that positions Ontario on the global e-learning scene,11.04,505.0521600000001,5,72,10,0,0,None
Improved access and flexibility for all students at all ages and stages,11.04,492.45554000000004,5,71,12,0,0,None
(supports Ontario’s lifelong learning strategy),11.04,479.85890000000006,5,47,5,0,0,None
The opportunity to address emerging job skills shortages and facilitate school,11.04,467.1408200000001,5,78,11,0,0,None
to work and job to job transitions with the necessary information and,11.04,454.54412,5,69,12,0,0,None
knowledge supports and tools,11.04,441.82604000000003,5,28,4,0,0,None
ODL will be an incorporated non-profit organization governed by a Board of Directors elected,11.04,416.62172000000004,5,92,14,0,0,None
by a voting membership. The Board will include representatives from all stakeholders. We,11.04,403.90368,5,88,13,0,0,None
envision a governance model similar to that prepared for the province’s ORION network.,11.04,391.30704000000003,5,86,13,0,0,None
"More information regarding the envisioned phasing, funding and resources required for the",11.04,366.58848,5,89,12,0,0,None
ODL can be found in the appendixes.,11.04,353.99184,5,35,7,0,0,None
The Business Plan to be Developed,12.0,315.972,5,33,6,0,0,H2
The business plan which needs to be developed for the ODL must be a formal business plan,11.04,276.07066000000003,5,88,17,0,0,None
"that documents and clearly communicates the ODL’s services, funding and governance",11.04,263.47402000000005,5,82,11,0,0,None
"structures, as well as implementation plans for 2004-2005, and operational plans for 2005-",11.04,250.87738000000002,5,90,13,0,0,None
"2007. The planning process must also secure the full commitment of all stakeholders, as",11.04,238.15930000000003,5,87,14,0,1,None
represented on the Steering Committee.,11.04,225.56266000000002,5,38,5,0,0,None
"Specifically, the business plan must include:",11.04,201.44026000000002,5,45,6,0,0,None
"how the ODL will be implemented, including the timeline",11.04,176.11450000000002,5,55,9,0,0,None
the financial plan for the implementation,11.04,163.39642000000003,5,41,6,0,0,None
"the financial plan for the first 2 operating years, including capital and operating costs,",11.04,150.79978000000003,5,90,14,0,0,None
"revenues, etc.",11.04,138.20311999999998,5,14,2,0,0,None
a financial forecast for the succeeding 2 operating years,11.04,125.48503999999998,5,57,9,0,0,None
the services and products to be delivered by the ODL,11.04,112.88842000000001,5,52,10,0,0,None
how the ODL will operate and be managed following the implementation,11.04,100.17034000000001,5,68,11,0,0,None
"who will be involved, and what their role/responsibility will be, for both the",11.04,87.57370000000002,5,78,13,0,0,None
implementation and operational stages,11.04,74.97708,5,37,4,0,0,None
RFP: To Develop the Ontario Digital Library Business Plan,7.56,49.52484,5,57,9,0,0,None
March 2003,7.56,49.52484,5,10,2,0,0,None
6666,9.0,48.0961,5,4,1,0,1,None
the marketing and communications plan for the ODL,11.04,707.47056,6,49,8,0,0,None
the commitment of all stakeholders to their responsibilities,11.04,694.87392,6,60,8,0,0,None
The process of developing this business plan must be extremely consultative to ensure that,11.04,669.54816,6,90,14,0,0,None
all stakeholders are engaged in creating a synergistic ODL organization. The proposal must,11.04,656.8300800000001,6,90,13,0,0,None
indicate how this consultative process will be approached.,11.04,644.2334400000001,6,58,8,0,0,None
"The business plan for the ODL must address significant issues. There are, for example,",11.04,618.9076800000001,6,86,14,0,0,None
enormous differences in the financial resources available to libraries mandated to provide,11.04,606.3110400000002,6,90,12,0,0,None
"similar services. Some post-secondary and public libraries, particularly those in large urban",11.04,593.5929600000002,6,93,12,0,0,None
"areas, have the facilities, funding and technological infrastructure necessary to service their",11.04,580.9963200000002,6,95,12,0,0,None
"patrons with electronic services and resources. Many others, particularly in rural regions, do",11.04,568.3996800000002,6,94,13,0,0,None
not. The proposal must indicate how these issues will be approached.,11.04,555.6816000000002,6,68,11,0,0,None
Milestones,12.0,504.972,6,10,1,0,0,H3
1) A preliminary report will be issued during June 2003.,11.04,476.71056000000004,6,56,10,0,1,None
"2) It is expected that an Interim Report, suitable for distribution to the broader library",11.04,452.11344,6,90,15,0,1,None
"community will be available by August 1, 2003 and that there will be an opportunity",11.04,439.39536000000004,6,83,15,0,0,None
for responses to be evaluated.,11.04,426.79872000000006,6,30,5,0,0,None
3) The business plan must be completed and approved by the ODL Steering Committee,11.04,402.0801600000001,6,81,14,0,1,None
"no later than September 30, 2003.",11.04,389.4835200000001,6,33,6,0,0,None
Approach and Specific Proposal Requirements,12.0,351.49199999999996,6,43,5,0,0,H2
The firm/consultant (or proposed team of consultants) will be expected to work closely with,11.04,323.11056,6,91,14,0,0,None
the ODL Steering Committee. Terms of reference for the Committee are in the appendix.,11.04,310.51392000000004,6,85,14,0,0,None
"Given the consultative nature of this business planning process, the firm/consultant will also",11.04,297.79584000000006,6,94,13,0,0,None
be expected to travel and communicate regularly with various stakeholders as well as with,11.04,285.1992000000001,6,89,14,0,0,None
electronic resource publishers/vendors.,11.04,272.6025600000001,6,39,3,0,0,None
The proposal should include the following information:,11.04,247.88400000000007,6,54,7,0,0,None
a) name of the firm/consultant,11.04,223.28688000000008,6,30,5,0,0,None
"b) names of those individuals who will be engaged in this project, their specific",11.04,210.5688000000001,6,81,14,0,0,None
responsibilities on this project and relevant experience/qualifications,11.04,197.9721600000001,6,71,7,0,0,None
c) description of similar engagements that highlight the firm’s experience in business,11.04,185.37552000000008,6,86,12,0,0,None
planning and building stakeholder commitment,11.04,172.6574400000001,6,44,5,0,0,None
d) references with details of work completed for these references,11.04,160.06080000000009,6,65,10,0,0,None
"e) description of the approach that will be used for completing the business plan,",11.04,147.3427200000001,6,82,14,0,0,None
including a timeline,11.04,134.7460800000001,6,20,3,0,0,None
"f) cost to complete the study including estimated expenses (i.e.: travel, etc.) and payment",11.04,122.1494400000001,6,91,14,0,0,None
structure,11.04,109.4313600000001,6,9,1,0,0,None
RFP: To Develop the Ontario Digital Library Business Plan,7.56,49.52484,6,57,9,0,0,None
March 2003,7.56,49.52484,6,10,2,0,0,None
7777,9.0,48.0961,6,4,1,0,1,None
Evaluation and Awarding of Contract,12.0,694.092,7,35,5,0,0,H2
The contract will be awarded to the bidder whose submission offers the best value; the contract will,11.04,656.83056,7,100,17,0,0,None
not necessarily be awarded to the lowest bidder. We reserve the right not to award the contract to,11.04,644.11248,7,98,18,0,0,None
any of the bidders responding to this RFP and we may seek further response.,11.04,631.51584,7,75,14,0,0,None
"Specifically, proposals will be evaluated proposals according to the following criteria:",11.04,606.91872,7,88,11,0,0,None
Quality of the proposal /approach outlined for undertaking the business planning process,11.04,569.48208,7,88,12,0,0,None
Demonstrated experience,11.04,556.764,7,23,2,0,0,None
"Cost, including expenses",11.04,544.16736,7,24,3,0,0,None
Timeline and projected completion date,11.04,531.57072,7,38,5,0,0,None
Other relevant factors as determined by the ODL Steering Committee,11.04,518.36688,7,66,10,0,0,None
Questions regarding this RFP should be directed by e-mail only to Michael Ridley,11.04,493.05216,7,80,13,0,0,None
(mridley@uoguelph.ca).,11.04,480.33408000000003,7,22,1,0,0,None
Bidders are asked not to contact any other member of the ODL Catalyst Team or the ODL Steering,11.04,455.01936,7,94,18,0,0,None
Committee.,11.04,442.42272,7,10,1,0,0,None
RFP: To Develop the Ontario Digital Library Business Plan,7.56,49.52484,7,57,9,0,0,None
March 2003,7.56,49.52484,7,10,2,0,0,None
8888,9.0,48.0961,7,4,1,0,1,None
Appendix A: ODL Envisioned Phases & Funding,12.0,667.572,8,43,7,0,0,H2
Phase I: Business Planning,9.96,641.09874,8,26,4,0,0,H3
Timeline: March 2003 – September 2003,9.96,618.06124,8,37,6,0,0,None
"Funding Requested: ~$100,000 jointly funded by stakeholder groups and the provincial government.",9.96,606.53752,8,96,12,0,0,None
Result: The ODL business plan,9.96,583.61958,8,29,5,0,0,None
"The first phase will be to build the ODL business plan. This plan will clearly define the ODL’s services,",9.96,560.46258,8,105,19,0,0,None
"funding and governance structures, as well as implementation plans for 2003-2005. It will also secure",9.96,548.93886,8,101,15,0,0,None
the full commitment of all stakeholders and scope the operational plan for ODL for 2006 and beyond.,9.96,537.41514,8,99,17,0,0,None
"Given the number and diversity of stakeholders involved, the business planning process must be a fully",9.96,514.49718,8,102,16,0,0,None
consultative approach. To ensure that the planning results in a workable plan with the full commitment,9.96,502.9734599999999,8,102,16,0,0,None
"of all stakeholders it must have competent, dedicated staffing and monies for the travel and",9.96,491.44973999999985,8,92,15,0,0,None
communication components so critical in a consultative process.,9.96,479.9260199999998,8,63,8,0,0,None
Phase II: Implementing and Transitioning,9.96,445.6038599999998,8,40,5,0,0,H3
Timeline: April 2004 – December 2006,9.96,422.56633999999997,8,36,6,0,0,None
Funding Requested: Funding from other states and provinces suggest that the ODL could receive,9.96,411.04261999999994,8,93,14,0,0,None
"funding of up to $50 Million (over 3 years). Funding to be provided partnership of government, library",9.96,399.51893999999993,8,102,17,0,0,None
stakeholders and other interested parties.,9.96,388.1147399999999,8,42,5,0,0,None
Result: The ODL is implemented and validated,9.96,365.0772599999999,8,44,7,0,0,None
The second phase will be to implement the ODL based on the business plan. This phase recognizes,9.96,341.9202599999999,8,95,17,0,0,None
that for ODL to be optimally successful libraries must transition to a new way of doing business and,9.96,330.3965399999999,8,100,18,0,0,None
providing services. The transition must occur while libraries continue to provide existing services and,9.96,318.9923399999999,8,103,14,0,0,None
"respond to current challenges. This implementation phase will funded by a partnership of government,",9.96,307.4686199999999,8,100,14,0,0,None
library stakeholders and other interested parties as a means to quickly jumpstart the ODL.,9.96,295.94489999999985,8,90,14,0,0,None
The seed money requested will allow libraries to realign their budgets and services as the infrastructure,9.96,272.90741999999983,8,105,16,0,0,None
"and content of the ODL is created and secured. Some of the funding will be new money, although there",9.96,261.5032199999998,8,100,19,0,0,None
